1745064119, [63.0, 63.0, 7.1, 3.3], 2.6
1745064120, [100.0, 100.0, 19.0, 6.9], 2.6
1745064121, [99.0, 100.0, 10.7, 4.7], 2.6
1745064122, [100.0, 100.0, 9.5, 5.8], 2.6
1745064123, [100.0, 99.0, 14.3, 5.7], 2.6
1745064124, [37.4, 37.4, 1.1, 3.2], 2.6
1745064125, [1.0, 0.0, 0.0, 1.0], 2.6
1745064126, [92.9, 92.1, 12.5, 13.9], 2.6
1745064127, [100.0, 100.0, 15.9, 11.7], 2.6
1745064128, [100.0, 100.0, 15.5, 17.5], 2.6
1745064129, [100.0, 100.0, 7.9, 17.1], 2.6
1745064130, [100.0, 100.0, 14.5, 6.8], 2.6
1745064131, [7.9, 7.0, 0.0, 3.0], 2.5
1745064132, [22.2, 23.2, 3.1, 2.1], 2.6
1745064133, [100.0, 100.0, 4.9, 4.7], 2.6
1745064134, [100.0, 100.0, 3.7, 4.7], 2.6
1745064135, [100.0, 99.0, 9.4, 8.0], 2.6
1745064136, [100.0, 100.0, 2.4, 5.8], 2.6
1745064137, [78.0, 78.0, 5.7, 3.4], 2.6
1745064138, [0.0, 1.0, 2.0, 1.0], 2.6
1745064139, [50.5, 50.5, 3.4, 5.4], 2.6
1745064140, [100.0, 100.0, 16.3, 7.5], 2.6
1745064141, [100.0, 100.0, 9.9, 9.6], 2.6
1745064142, [100.0, 100.0, 5.0, 8.6], 2.6
1745064143, [100.0, 100.0, 5.3, 7.3], 2.6
1745064144, [49.5, 50.0, 3.3, 3.3], 2.6
1745064145, [0.0, 0.0, 0.0, 1.0], 2.5
1745064146, [82.0, 80.8, 9.8, 8.4], 2.6
1745064147, [100.0, 100.0, 12.5, 11.0], 2.6
1745064148, [100.0, 100.0, 14.8, 11.1], 2.6
1745064149, [100.0, 100.0, 11.4, 10.0], 2.6
1745064150, [100.0, 100.0, 13.7, 7.6], 2.6
1745064151, [19.8, 20.0, 3.1, 3.1], 2.6
1745064152, [10.1, 10.1, 1.0, 3.0], 2.6
1745064153, [100.0, 100.0, 7.4, 7.1], 2.6
1745064154, [100.0, 100.0, 5.1, 7.1], 2.6
1745064155, [100.0, 100.0, 5.1, 11.5], 2.6
1745064156, [100.0, 100.0, 9.6, 7.1], 2.6
1745064157, [89.0, 89.1, 6.0, 4.7], 2.6
1745064158, [2.0, 2.0, 37.4, 5.1], 2.6
