Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747332604044
Timestamp end: 1747333604288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      264.3   207.9    63.8   144.6   155.0   243.0   295.0   319.7   337.2   357.0   381.2   419.9   530.2  2583.2  8742.3  56984.6    56902
read      243.4   186.6    63.8   145.3   154.2   214.0   263.6   294.3   315.6   338.5   364.5   400.1   482.8   981.7  7138.8 102147.9   102243
read      254.2   155.4    68.9   127.6   164.4   249.7   276.5   291.7   302.8   316.3   335.6   366.0   481.0  1217.3  5689.6  14067.8    14085
read      255.8   197.1    63.8   145.1   154.2   219.8   274.4   306.1   328.0   352.4   381.5   426.5   576.2  2409.2  7435.8  93953.3    94103
read      248.6   116.1    63.8   143.2   153.0   235.8   285.7   307.3   321.3   338.4   359.0   389.9   464.3   945.9  3722.8  58168.2    58175
read      240.1   222.8    59.1   151.2   161.0   214.7   248.4   270.7   288.0   308.9   335.8   374.0   469.0  2888.7  6285.8 151210.3   151312
read      241.0   141.0    59.1   142.5   151.5   215.1   271.3   299.1   317.0   336.3   359.0   391.7   463.7   821.5  4374.9  83633.2    83333
read      247.2   182.7    63.8   156.9   167.3   225.3   257.4   277.4   293.1   312.5   338.1   377.5   483.5  2544.5  7527.6 165201.9   165153
read      240.3   198.2    63.8   146.6   155.2   210.1   251.1   279.2   299.8   323.5   351.7   390.7   511.9  2136.5  6022.6 123787.2   123975
read      246.8   107.7    63.8   145.6   160.8   246.0   274.4   289.6   299.9   313.7   331.3   358.7   422.0   740.5  4057.7  28391.4    28449
read      236.6    96.9    68.9   124.6   158.0   234.7   260.6   274.0   284.8   296.1   313.7   340.9   407.9   808.1  3305.0  14929.2    14903
read      272.6   183.8    63.8   143.1   157.0   268.3   312.0   334.0   348.7   365.6   386.1   417.1   493.8  1120.1 10945.2  31143.2    31189
read      275.1   177.0    63.8   142.9   154.8   263.1   317.8   344.2   361.6   380.3   402.1   434.5   508.0  1812.7  8426.3  40593.9    40636
read      247.6   170.7    63.8   142.8   152.3   221.4   277.8   306.1   325.0   345.4   370.3   406.9   492.6   919.8  7710.9  80581.8    80574
read      245.2   158.1    63.8   159.5   169.8   226.9   257.6   276.6   292.0   310.6   335.3   372.7   459.8  1273.1  5109.6 168685.9   168820
read      242.2   188.5    59.1   156.1   166.4   221.9   253.0   273.1   289.1   308.6   334.4   372.6   459.4  1450.6  6445.3 162723.3   162621
read      235.0   147.4    63.8   143.0   151.9   208.1   256.5   287.3   307.4   328.9   353.1   386.0   452.5   639.1  5224.5 101497.1   101621
read      246.1   183.8    54.7   142.1   152.4   233.1   281.2   301.7   315.8   332.4   352.1   381.2   439.9   606.3 11360.7  58521.9    58592
read      238.0   170.4    63.8   152.2   162.3   216.5   249.9   271.8   289.0   309.8   336.5   373.8   457.3  1026.1  7202.8 153043.8   153042
read      234.6   129.1    63.8   144.5   153.5   208.5   252.4   282.0   302.5   324.8   350.0   384.6   454.5   659.1  4358.0 112221.7   112238
read      241.2   166.6    63.8   155.2   165.5   221.4   253.5   274.3   290.8   310.8   336.9   375.1   461.0   930.7  6031.8 160162.2   160265
read      245.2   122.3    59.1   142.3   152.8   236.1   282.1   302.0   315.6   331.6   350.7   380.0   444.9   580.0  3484.1  57150.6    57109
read      238.7   149.2    54.7   142.5   151.7   213.3   266.8   295.1   313.3   332.8   355.1   386.5   452.1   660.9  6123.3  88627.9    88551
